시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,보관대수,설치연도,설치형태,차양막 설치여부,공기주입기 비치여부,공기주입기 유형,수리대 설치여부,관리기관 전화번호,관리기관명,데이터갱신일자,업태구분명,위도,경도
경기도,광명시,철산동,"41210102",생활편의형SOC,CVNTL,자전거보관소,철산동 사회체육센터 앞,CVNTL_24_41210_00278,,경기도 광명시 철산로 45,경기도 광명시 철산동 241-1,99,"",거치형,"",N,"",N,"02-2680-2939",광명시청 도로과,2022-07-11,,37.4774170000,126.8710900000
경기도,광명시,철산동,"41210102",생활편의형SOC,CVNTL,자전거보관소,철산동 주공13단지 1313동 앞,CVNTL_24_41210_00279,,경기도 광명시 철산로 57,경기도 광명시 철산동 241,27,"",거치형,"",N,"",N,"02-2680-2939",광명시청 도로과,2022-07-11,,37.4796520000,126.8714450000
경기도,광명시,철산동,"41210102",생활편의형SOC,CVNTL,자전거보관소,철산역 1번출구(기업은행 앞),CVNTL_24_41210_00280,,경기도 광명시 철산로 28,경기도 광명시 철산동 383,43,"",거치형,"",N,"",N,"02-2680-2939",광명시청 도로과,2022-07-11,,37.4760200000,126.8693100000
경기도,광명시,철산동,"41210102",생활편의형SOC,CVNTL,자전거보관소,광명북고등학교 앞,CVNTL_24_41210_00281,,경기도 광명시 시청로 127,경기도 광명시 철산동 59-1,21,"",거치형,"",N,"",N,"02-2680-2939",광명시청 도로과,2022-07-11,,37.4877300000,126.8669740000
경기도,광명시,철산동,"41210102",생활편의형SOC,CVNTL,자전거보관소,광명북중학교 앞,CVNTL_24_41210_00282,,경기도 광명시 시청로 121,경기도 광명시 철산동 59,42,"",거치형,"",N,"",N,"02-2680-2939",광명시청 도로과,2022-07-11,,37.4873120000,126.8659740000
경기도,광명시,철산동,"41210102",생활편의형SOC,CVNTL,자전거보관소,철산3동 주민센터,CVNTL_24_41210_00283,,경기도 광명시 모세로 48,경기도 광명시 철산동 240-2,10,"",거치형,"",N,"",N,"02-2680-6610",철산3동 주민센터,2022-07-11,,37.4809040000,126.8703460000
경기도,김포시,운양동,"41570103",생활편의형SOC,CVNTL,자전거보관소,광장71호,CVNTL_24_41570_00499,,"",경기도 김포시 운양동 1294-5,10,"2013",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6520500000,126.6904600000
경기도,김포시,운양동,"41570103",생활편의형SOC,CVNTL,자전거보관소,광장73호,CVNTL_24_41570_00500,,"",경기도 김포시 운양동 1338-1,10,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6503070000,126.6922800000
경기도,김포시,운양동,"41570103",생활편의형SOC,CVNTL,자전거보관소,광장75호,CVNTL_24_41570_00501,,"",경기도 김포시 운양동 1316-4,10,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6493840000,126.6953900000
경기도,김포시,장기동,"41570104",생활편의형SOC,CVNTL,자전거보관소,보행자도로소(특) 1-116,CVNTL_24_41570_00522,,"",경기도 김포시 장기동 1941-6,7,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6466330000,126.6756440000
경기도,김포시,양촌읍,"41570256",생활편의형SOC,CVNTL,자전거보관소,학운산단3로25번길,CVNTL_24_41570_00524,,"",경기도 김포시 양촌읍 학운리 3443,7,"",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6049770000,126.5898360000
경기도,김포시,풍무동,"41570107",생활편의형SOC,CVNTL,자전거보관소,풍무로 택시승차장주변,CVNTL_24_41570_00546,,"",경기도 김포시 풍무동 52-12,7,"",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6077400000,126.7233900000
경기도,김포시,풍무동,"41570107",생활편의형SOC,CVNTL,자전거보관소,풍무한화꿈에그린 버스정류장주변A,CVNTL_24_41570_00547,,"",경기도 김포시 풍무동 814,10,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6007900000,126.7279360000
경기도,김포시,풍무동,"41570107",생활편의형SOC,CVNTL,자전거보관소,풍무중학교 버스정류장주변,CVNTL_24_41570_00550,,"",경기도 김포시 풍무동 815,10,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.5992300000,126.7257500000
경기도,동두천시,보산동,"41250106",생활편의형SOC,CVNTL,자전거보관소,보산역,CVNTL_24_41250_00598,,경기도 동두천시 평화로 2539,경기도 동두천시 보산동 422,12,"","",Y,Y,수동식,N,"031-860-2419",동두천시청 도로과,2022-07-11,,37.9145280000,127.0572050000
경기도,동두천시,동두천동,"41250107",생활편의형SOC,CVNTL,자전거보관소,원터공원,CVNTL_24_41250_00599,,경기도 동두천시 강변로690번길 38,경기도 동두천시 동두천동 223-1,2,"","",Y,N,"",N,"031-860-2419",동두천시청 도로과,2022-07-11,,37.9282570000,127.0521600000
경기도,파주시,문산읍,"41480250",생활편의형SOC,CVNTL,자전거보관소,문산북중학교,CVNTL_24_41480_03409,,경기도 파주시 문산읍 당동1로 22,경기도 파주시 문산읍 당동리 149,30,"","",Y,N,"",N,"031-940-4677",파주시청,2022-07-11,,37.8624420000,126.7760240000
경기도,부천시,원미동,"41190101",생활편의형SOC,CVNTL,자전거보관소,부천제일요양병원,CVNTL_24_41190_00667,,경기도 부천시 부천로 100,경기도 부천시 원미동 134-3,7,"",거치형,N,N,"",N,"032-625-5114",심곡동행정복지센터,2022-07-11,,37.4930420000,126.7850600000
경기도,부천시,상동,"41190109",생활편의형SOC,CVNTL,자전거보관소,센타프라자,CVNTL_24_41190_00759,,경기도 부천시 길주로 111,경기도 부천시 상동 535-8,3,"",거치형,N,N,"",N,"032-625-5793",상동행정복지센터,2022-07-11,,37.5063250000,126.7548900000
경기도,의정부시,민락동,"41150106",생활편의형SOC,CVNTL,자전거보관소,활기체육공원,CVNTL_24_41150_03286,,경기도 의정부시 민락로 299,경기도 의정부시 민락동 888,10,"",거치형,Y,N,"",N,"031-828-8614",경기도 의정부시청,2022-07-11,,37.7495600000,127.1087000000
경기도,김포시,풍무동,"41570107",생활편의형SOC,CVNTL,자전거보관소,유현로33번길 보행자전용도로,CVNTL_24_41570_00549,,"",경기도 김포시 풍무동 798,10,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6000980000,126.7257840000
경기도,부천시,도당동,"41190104",생활편의형SOC,CVNTL,자전거보관소,민방위 교육장,CVNTL_24_41190_00630,,경기도 부천시 삼작로280번길 53-6,경기도 부천시 도당동 122,3,"",거치형,Y,N,"",N,"032-625-5285",부천동행정복지센터,2022-07-11,,37.5175440000,126.7932400000
경기도,부천시,상동,"41190109",생활편의형SOC,CVNTL,자전거보관소,산업은행앞 횡단보도 우측,CVNTL_24_41190_00809,,경기도 부천시 송내대로 88,경기도 부천시 상동 446,7,"",거치형,N,N,"",N,"032-625-5452",중동행정복지센터,2022-07-11,,37.4911540000,126.7550200000
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,자전거보관소,KB국민은행 주차장 뒤,CVNTL_24_41190_00824,,경기도 부천시 소향로 245,경기도 부천시 중동 1135-2,14,"",거치형,N,N,"",N,"032-625-5623",신중동행정복지센터,2022-07-11,,37.5007600000,126.7749900000
경기도,안양시 동안구,비산동,"41173101",생활편의형SOC,CVNTL,자전거보관소,메트로칸 옆,CVNTL_24_41173_02817,,"",경기도 안양시 동안구 비산동 1115-2,24,"","","",N,"",N,"031-8045-4484",안양시 동안구청,2022-07-11,,37.3928530000,126.9546100000
경기도,성남시 분당구,판교동,"41135108",생활편의형SOC,CVNTL,자전거보관소,판교초교,CVNTL_24_41135_01185,,경기도 성남시 분당구 판교원로 231,경기도 성남시 분당구 판교동 636,5,"2010",단독형,Y,N,"",N,"031-729-3303",성남시청,2022-07-11,,37.3871100000,127.0916100000
경기도,성남시 분당구,삼평동,"41135109",생활편의형SOC,CVNTL,자전거보관소,나들이공원 엘리베이터 앞(삼평중 옆),CVNTL_24_41135_01239,,경기도 성남시 분당구 대왕판교로644번길 77,경기도 성남시 분당구 삼평동 727,2,"2010",거치형,N,N,기타,N,"031-729-3303",성남시청,2022-07-11,,37.4007380000,127.1156500000
경기도,성남시 분당구,야탑동,"41135107",생활편의형SOC,CVNTL,자전거보관소,돌마초등학교 후문,CVNTL_24_41135_01285,,경기도 성남시 분당구 야탑로 96-7,경기도 성남시 분당구 야탑동 515,5,"2010",단독형,Y,N,"",N,"031-729-3303",성남시청,2022-07-11,,37.4091700000,127.1300350000
경기도,성남시 분당구,구미동,"41135114",생활편의형SOC,CVNTL,자전거보관소,벌말어린이공원,CVNTL_24_41135_01407,,경기도 성남시 분당구 미금일로86번길 24-9,경기도 성남시 분당구 구미동 51,2,"2010",거치형,N,N,"",N,"031-729-3303",성남시청,2022-07-11,,37.3476450000,127.1108700000
경기도,성남시 분당구,운중동,"41135115",생활편의형SOC,CVNTL,자전거보관소,운중고교,CVNTL_24_41135_01486,,경기도 성남시 분당구 운중로 95,경기도 성남시 분당구 운중동 957,4,"2010",거치형,N,N,"",N,"031-729-3303",성남시청,2022-07-11,,37.3926120000,127.0736900000
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,자전거보관소,정자역3번출구,CVNTL_24_41135_01529,,경기도 성남시 분당구 성남대로 지하 333,경기도 성남시 분당구 정자동 95-1,4,"2010",단독형,Y,N,기타,N,"031-729-3303",성남시청,2022-07-11,,37.3661880000,127.1080550000
경기도,성남시 수정구,금광동,"41133103",생활편의형SOC,CVNTL,자전거보관소,단대오거리역 7번출구,CVNTL_24_41131_01601,,경기도 성남시 수정구 산성대로 지하 445,경기도 성남시 수정구 단대동 96,4,"2010",단독형,Y,Y,태양광식,N,"031-729-3303",성남시청,2022-07-11,,37.4515650000,127.1598050000
경기도,수원시 권선구,금곡동,"41113134",생활편의형SOC,CVNTL,자전거보관소,홈플러스 서수원점,CVNTL_24_41113_01837,,경기도 수원시 권선구 금곡로 236,경기도 수원시 권선구 금곡동 181-6,10,"","","",N,"",N,"031-8019-1000",홈플러스 서수원점,2022-07-11,,37.2744030000,126.9559200000
경기도,수원시 팔달구,화서동,"41115138",생활편의형SOC,CVNTL,자전거보관소,화서동 724-6 버스정류장,CVNTL_24_41115_02094,,"",경기도 수원시 팔달구 화서동 724-6,10,"","","",N,"",N,"031-228-7499",수원시 팔달구청,2022-07-11,,37.2856900000,126.9804700000
경기도,성남시 중원구,상대원동,"41133105",생활편의형SOC,CVNTL,자전거보관소,상대원1동 주민센터,CVNTL_24_41133_01747,,경기도 성남시 중원구 둔촌대로 425,경기도 성남시 중원구 상대원동 1451,1,"2010",거치형,N,N,기계식,N,"031-729-3303",성남시청,2022-07-11,,37.4331600000,127.1643500000
경기도,부천시,삼정동,"41190123",생활편의형SOC,CVNTL,자전거보관소,삼정복지회관,CVNTL_24_41190_00648,,경기도 부천시 삼작로 52,경기도 부천시 삼정동 365-2,10,"",거치형,N,Y,"",N,"032-625-7312",오정동행정복지센터,2022-07-11,,37.5197530000,126.7664800000
경기도,김포시,장기동,"41570104",생활편의형SOC,CVNTL,자전거보관소,광장39호,CVNTL_24_41570_00555,,"",경기도 김포시 장기동 1888-4,7,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6424640000,126.6552800000
경기도,안산시 상록구,사동,"41271103",생활편의형SOC,CVNTL,자전거보관소,호수공원 육교앞 2주차장쪽,CVNTL_24_41271_02689,,경기도 안산시 상록구 광덕대로 35,경기도 안산시 상록구 사동 1509,12,"2019",휀스형,Y,N,"",N,"031-481-2497",안산시 교통정책과 자전거교통팀,2022-07-11,,37.3004300000,126.8258740000
경기도,안산시 단원구,초지동,"41273107",생활편의형SOC,CVNTL,자전거보관소,단원구청,CVNTL_24_41273_02261,,경기도 안산시 단원구 화랑로 260,경기도 안산시 단원구 초지동 666,36,"2017",거치형,Y,N,"",N,"031-481-2497",안산시 교통정책과 자전거교통팀,2022-07-11,,37.3198280000,126.8172700000
경기도,평택시,신장동,"41220112",생활편의형SOC,CVNTL,자전거보관소,송탄역,CVNTL_24_41220_03733,,경기도 평택시 송탄공원로 43,경기도 평택시 신장동 257-5,7,"2010",거치형,N,Y,수동식,N,"031-8024-4742",경기도 평택시청,2022-07-11,,37.0756720000,127.0543700000
경기도,파주시,야동동,"41480104",생활편의형SOC,CVNTL,자전거보관소,"한빛3,6단지 버스정류장",CVNTL_24_41480_03393,,"",경기도 파주시 야동동 1025-1,10,"","",N,N,"",N,"031-940-4677",파주시청,2022-07-11,,37.7790700000,126.7689000000
경기도,파주시,금촌동,"41480101",생활편의형SOC,CVNTL,자전거보관소,금릉중학교,CVNTL_24_41480_03577,,경기도 파주시 후곡로 66,경기도 파주시 금촌동 996,30,"","",Y,N,"",N,"031-940-4677",경기도 파주시청,2022-07-11,,37.7511830000,126.7729100000
경기도,하남시,교산동,"41450117",생활편의형SOC,CVNTL,자전거보관소,법동교차로,CVNTL_24_41450_03797,,"",경기도 하남시 교산동 317-1,30,"","","",N,"",N,"031-790-5964",하남시청 도로관리과,2022-07-11,,37.5255400000,127.1982800000
경기도,수원시 팔달구,화서동,"41115138",생활편의형SOC,CVNTL,자전거보관소,영복여자고등학교,CVNTL_24_41115_02166,,경기도 수원시 팔달구 장안로7번길 49-1,경기도 수원시 팔달구 화서동 7-10,10,"","","",N,"",N,"031-245-2500",영복여자고등학교,2022-07-11,,37.2857630000,127.0014600000
경기도,안산시 단원구,선부동,"41273109",생활편의형SOC,CVNTL,자전거보관소,선부3동주민센터,CVNTL_24_41273_02530,,경기도 안산시 단원구 선삼로 47,경기도 안산시 단원구 선부동 1135,5,"",휀스형,N,N,"",N,"031-481-2497",안산시 교통정책과 자전거교통팀,2022-07-11,,37.3449360000,126.8126140000
경기도,안산시 상록구,성포동,"41271108",생활편의형SOC,CVNTL,자전거보관소,정인빌딩(한뜻학원) 앞,CVNTL_24_41271_02744,,경기도 안산시 상록구 예술광장1로 94,경기도 안산시 상록구 성포동 593-25,14,"",휀스형,N,N,"",N,"031-481-2497",안산시 교통정책과 자전거교통팀,2022-07-11,,37.3264660000,126.8470500000
경기도,김포시,장기동,"41570104",생활편의형SOC,CVNTL,자전거보관소,광장80호,CVNTL_24_41570_00516,,"",경기도 김포시 장기동 1954-1,7,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6461520000,126.6712400000
경기도,김포시,장기동,"41570104",생활편의형SOC,CVNTL,자전거보관소,광장50호,CVNTL_24_41570_00517,,"",경기도 김포시 장기동 1869-4,7,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6504400000,126.6617900000
경기도,김포시,장기동,"41570104",생활편의형SOC,CVNTL,자전거보관소,광장48호,CVNTL_24_41570_00518,,"",경기도 김포시 장기동 1869-11,7,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6485000000,126.6614200000
경기도,김포시,장기동,"41570104",생활편의형SOC,CVNTL,자전거보관소,광장47호,CVNTL_24_41570_00519,,"",경기도 김포시 장기동 1885-1,7,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6485940000,126.6602000000
경기도,김포시,장기동,"41570104",생활편의형SOC,CVNTL,자전거보관소,보행자도로대(특)2-1,CVNTL_24_41570_00557,,"",경기도 김포시 장기동 1999,14,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6459350000,126.6768800000
경기도,김포시,양촌읍,"41570256",생활편의형SOC,CVNTL,자전거보관소,평화누리자전거길 쉼터A,CVNTL_24_41570_00525,,"",경기도 김포시 양촌읍 누산리 1063-1,7,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6872400000,126.6590000000
경기도,김포시,양촌읍,"41570256",생활편의형SOC,CVNTL,자전거보관소,평화누리자전거길 쉼터B,CVNTL_24_41570_00526,,"",경기도 김포시 양촌읍 누산리 1063-142,7,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6805230000,126.6600600000
경기도,김포시,양촌읍,"41570256",생활편의형SOC,CVNTL,자전거보관소,평화누리자전거길 쉼터C,CVNTL_24_41570_00527,,"",경기도 김포시 양촌읍 누산리 1063-152,7,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6783830000,126.6619900000
경기도,화성시,비봉면,"41590320",생활편의형SOC,CVNTL,자전거보관소,비봉면 행정복지센터,CVNTL_24_41590_03824,,경기도 화성시 비봉면 비봉로71번길 1,경기도 화성시 비봉면 양노리 253-1,7,"",단독형,"",N,"",N,"031-5189-6106",경기도 화성시청,2022-07-11,,37.2355700000,126.8737200000
경기도,화성시,매송면,"41590310",생활편의형SOC,CVNTL,자전거보관소,매송면 행정복지센터,CVNTL_24_41590_03825,,경기도 화성시 매송면 매송로 43,경기도 화성시 매송면 어천리 375-2,10,"",단독형,"",N,"",N,"031-5189-6106",경기도 화성시청,2022-07-11,,37.2523460000,126.9100200000
경기도,화성시,안녕동,"41590126",생활편의형SOC,CVNTL,자전거보관소,화성시근로자종합복지관,CVNTL_24_41590_03908,,경기도 화성시 화산중앙로 16-1,경기도 화성시 안녕동 20-9,15,"",단독형,"",N,"",N,"031-5189-4218",경기도 화성시 동부출장소,2022-07-11,,37.2060900000,127.0145500000
경기도,화성시,안녕동,"41590126",생활편의형SOC,CVNTL,자전거보관소,융건릉,CVNTL_24_41590_03827,,경기도 화성시 효행로481번길 21,경기도 화성시 안녕동 187-1,10,"",거치형,"",N,"",N,"031-5189-6106",경기도 화성시청,2022-07-11,,37.2098580000,126.9903300000
경기도,화성시,정남면,"41590410",생활편의형SOC,CVNTL,자전거보관소,수원과학대학,CVNTL_24_41590_03991,,경기도 화성시 정남면 세자로 288,경기도 화성시 정남면 보통리 141-44,40,"",거치형,"",N,"",N,"031-5189-6106",경기도 화성시청,2022-07-11,,37.1921770000,126.9826200000
경기도,화성시,정남면,"41590410",생활편의형SOC,CVNTL,자전거보관소,화성시립 정남도서관,CVNTL_24_41590_03992,,경기도 화성시 정남면 만년로 527,경기도 화성시 정남면 발산리 405-6,10,"",단독형,"",N,"",N,"031-5189-4218",경기도 화성시 동부출장소,2022-07-11,,37.1682470000,126.9831400000
경기도,화성시,송산면,"41590340",생활편의형SOC,CVNTL,자전거보관소,송산면행정복지센터,CVNTL_24_41590_03829,,경기도 화성시 송산면 매봉산길 12,경기도 화성시 송산면 삼존리 203-5,1,"",거치형,Y,N,"",N,"031-5189-6106",경기도 화성시 화성시청 도로관리과,2022-07-11,,37.2181000000,126.7390800000
