시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,공원구분,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터갱신일자,업태구분명,위도,경도
경기도,화성시,우정읍,"41590256",생활편의형SOC,CVNTL,도시공원,조암2호 어린이공원,CVNTL_22_41590_03539,,경기도 화성시 우정읍 조암동로 58,경기도 화성시 우정읍 조암리 790,어린이공원,8401,"","",조합놀이대 등,"","",2005-06-20,경기도 화성시청 공원관리과,"031-5189-6626","2022-07-11",,37.0908880000,126.8243465000
경기도,화성시,우정읍,"41590256",생활편의형SOC,CVNTL,도시공원,조암5호 어린이공원,CVNTL_22_41590_03537,,경기도 화성시 우정읍 조암북로58번길 5,경기도 화성시 우정읍 조암리 808-3,어린이공원,1497,"","",조합놀이대 등,"","",2005-06-20,경기도 화성시청 공원관리과,"031-5189-6626","2022-07-11",,37.0853815000,126.8212219000
경기도,화성시,우정읍,"41590256",생활편의형SOC,CVNTL,도시공원,조암3호 어린이공원,CVNTL_22_41590_03543,,경기도 화성시 우정읍 조암동로 58,경기도 화성시 우정읍 조암리 149-11,어린이공원,3717,"","",조합놀이대 등,"","",2005-06-20,경기도 화성시청 공원관리과,"031-5189-6626","2022-07-11",,37.0891291000,126.8201177000
경기도,이천시,증포동,"41500109",생활편의형SOC,CVNTL,도시공원,증포3지구 어린이공원1,CVNTL_22_41500_02743,,경기도 이천시 이섭대천로 1325,경기도 이천시 증포동 483,어린이공원,352,"",조합놀이대+그네+흔들놀이기구+충격흡수용표면재 고무포설,화장실,"","",2013-05-20,경기도 이천시청,"031-645-3844","2022-07-11",,37.2893959000,127.4493509000
경기도,이천시,증포동,"41500109",생활편의형SOC,CVNTL,도시공원,증포3지구 어린이공원2,CVNTL_22_41500_02744,,경기도 이천시 이섭대천로 1325,경기도 이천시 증포동 493,어린이공원,45,"",흔들놀이기구+충격흡수용표면재 고무포설,"","","",2013-05-20,경기도 이천시청,"031-645-3844","2022-07-11",,37.2905190000,127.4468852000
경기도,부천시,약대동,"41190105",생활편의형SOC,CVNTL,도시공원,약수공원,CVNTL_22_41190_01056,,"",경기도 부천시 약대동 216-2,어린이공원,1500,"",조합놀이대,"","","",2007-04-02,경기도 부천시청,"032-625-4864","2022-07-11",,37.5170600000,126.7663200000
경기도,평택시,장당동,"41220102",생활편의형SOC,CVNTL,도시공원,원장당 어린이공원(장당 1호),CVNTL_22_41220_03135,,"",경기도 평택시 장당동 631-1,어린이공원,2147.6,농구대,그네+모래포장+조합놀이대+흔들놀이,자전거보관대,"",집수정,2002-10-25,경기도 평택시청,"031-8024-4247","2022-07-11",,37.0489460000,127.0577550000
경기도,부천시,상동,"41190109",생활편의형SOC,CVNTL,도시공원,행복한공원,CVNTL_22_41190_01092,,"",경기도 부천시 상동 550-6,어린이공원,2489.7,"",그네 등 6개,"","","",1998-12-17,경기도 부천시청,"032-625-4846","2022-07-11",,37.5012780000,126.7495200000
경기도,안양시 동안구,비산동,"41173101",생활편의형SOC,CVNTL,도시공원,어우리지어린이공원,CVNTL_22_41173_02135,,"",경기도 안양시 동안구 비산동 455-3,어린이공원,1500,"","","","","",1999-01-07,경기도 안양시 공원관리과,"031-8045-5022","2022-07-11",,37.4003800000,126.9373300000
경기도,안성시,공도읍,"41550250",생활편의형SOC,CVNTL,도시공원,진사근린공원2,CVNTL_22_41550_02086,,"",경기도 안성시 공도읍 진사리 5-39,근린공원,16447,"","","","","",2013-01-31,안성시청,"031-678-5392","2022-07-11",,36.9965820000,127.1484200000
경기도,수원시 장안구,천천동,"41111133",생활편의형SOC,CVNTL,도시공원,천천공원,CVNTL_22_41111_01671,,"",경기도 수원시 장안구 천천동 511-2,어린이공원,1839.1,"",조합놀이대1,"","","",,경기도 수원시 장안구 녹지공원과,"031-228-5995","2022-07-11",,37.2991640000,126.9818200000
경기도,김포시,마산동,"41570108",생활편의형SOC,CVNTL,도시공원,한강소공원22,CVNTL_22_41570_00637,,"",경기도 김포시 마산동 674-5,소공원,1482,"","","","","",2010-08-19,경기도 김포시 공원관리과,"031-980-5627","2022-07-11",,37.6422500000,126.6419900000
경기도,군포시,산본동,"41410104",생활편의형SOC,CVNTL,도시공원,태을어린이공원,CVNTL_22_41410_00524,,"",경기도 군포시 산본동 1252,어린이공원,1633.9,"","","","","",2005-10-24,경기도 군포시청,"031-390-0478","2022-07-11",,37.3656850000,126.9340500000
경기도,안양시 만안구,안양동,"41171101",생활편의형SOC,CVNTL,도시공원,병목안시민공원,CVNTL_22_41171_02245,,경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,체육공원,91728,"","","","","",2001-12-07,경기도 안양시 공원관리과,"031-8045-5285","2022-07-11",,37.3840560000,126.9092600000
경기도,안성시,중리동,"41550133",생활편의형SOC,CVNTL,도시공원,안성체육공원,CVNTL_22_41550_02097,,경기도 안성시 안성맞춤대로 772,경기도 안성시 중리동 440,체육공원,12202,"","","","","",2007-05-28,안성시청,"031-678-5392","2022-07-11",,36.9825550000,127.2668460000
경기도,화성시,서신면,"41590350",생활편의형SOC,CVNTL,도시공원,전곡공원 5,CVNTL_22_41590_03752,,경기도 화성시 서신면 당성로 232,경기도 화성시 서신면 전곡리 189-2,소공원,517,"","",등의자 등,"","",2009-06-03,경기도 화성시청 공원관리과,"031-5189-6626","2022-07-11",,37.1945080000,126.6940000000
경기도,김포시,풍무동,"41570107",생활편의형SOC,CVNTL,도시공원,풍무제1어린이공원,CVNTL_22_41570_00797,,"",경기도 김포시 풍무동 774,어린이공원,1534,"","","","","",2010-01-29,경기도 김포시 공원관리과,"031-980-5627","2022-07-11",,37.6030350000,126.7264200000
경기도,군포시,당동,"41410101",생활편의형SOC,CVNTL,도시공원,산마을어린이공원,CVNTL_22_41410_00550,,"",경기도 군포시 당동 1025,어린이공원,1597.9,"","","","","",2006-12-07,경기도 군포시청,"031-390-0478","2022-07-11",,37.3419460000,126.9354900000
경기도,남양주시,화도읍,"41360256",생활편의형SOC,CVNTL,도시공원,마석제1호어린이공원,CVNTL_22_41360_00889,,"",경기도 남양주시 화도읍 마석우리 346,어린이공원,1530,"","","","","",,경기도 남양주시청,"031-590-8601","2022-07-11",,37.6594920000,127.3028100000
경기도,오산시,수청동,"41370108",생활편의형SOC,CVNTL,도시공원,무지개어린이공원,CVNTL_22_41370_02455,,"",경기도 오산시 수청동 590,어린이공원,1661,"",조합놀이대 등,"","","",2005-01-03,경기도 오산시환경사업소 공원녹지과,"031-8036-6473","2022-07-11",,37.1693200000,127.0573400000
경기도,하남시,풍산동,"41450110",생활편의형SOC,CVNTL,도시공원,누리봄어린이공원(226),CVNTL_22_41450_03519,,"",경기도 하남시 풍산동 632,어린이공원,1752,"","","","","",2015-11-16,경기도 하남시청,"031-790-6415","2022-07-11",,37.5443420000,127.1942750000
경기도,고양시 일산서구,탄현동,"41287103",생활편의형SOC,CVNTL,도시공원,탄현일단의주택지168(탄현용현)공원,CVNTL_22_41287_00210,,"",경기도 고양시 일산서구 탄현동 1634-1,어린이공원,2303,게이트볼장+체력단련시설,조합놀이대+그네+시소+흔들놀이대,"","","",2006-10-02,경기도 고양시 일산서구청,"031-8075-7266","2022-07-11",,37.7034950000,126.7645500000
경기도,고양시 일산서구,탄현동,"41287103",생활편의형SOC,CVNTL,도시공원,탄현일단의주택지168(탄현호곡)공원,CVNTL_22_41287_00211,,"",경기도 고양시 일산서구 탄현동 1634-2,어린이공원,1657,배드민턴장+체력단련시설,시소+흔들놀이대,"","","",2006-10-02,경기도 고양시 일산서구청,"031-8075-7266","2022-07-11",,37.7021260000,126.7661700000
경기도,고양시 일산서구,탄현동,"41287103",생활편의형SOC,CVNTL,도시공원,탄현근린공원,CVNTL_22_41287_00213,,"",경기도 고양시 일산서구 탄현동 산16,근린공원,90598,족구장+배드민턴장+체력단련시설,"","","","",1974-05-16,경기도 고양시 푸른도시사업소,"031-8075-4343","2022-07-11",,37.6999240000,126.7754300000
경기도,고양시 일산서구,탄현동,"41287103",생활편의형SOC,CVNTL,도시공원,탄현 2(황룡산)공원,CVNTL_22_41287_00214,,"",경기도 고양시 일산서구 탄현동 1554,어린이공원,1811,체력단련시설,조합놀이대+흔들놀이대+암벽오르기,"","","",1990-12-19,경기도 고양시 일산서구청,"031-8075-7266","2022-07-11",,37.6975600000,126.7713900000
경기도,고양시 일산서구,탄현동,"41287103",생활편의형SOC,CVNTL,도시공원,숯고개공원,CVNTL_22_41287_00249,,경기도 고양시 일산서구 산현로 33,경기도 고양시 일산서구 탄현동 1580,근린공원,10027,다목적운동장+체력단련시설,조합놀이대,"","","",1997-01-21,경기도 고양시 푸른도시사업소,"031-8075-4343","2022-07-11",,37.6907230000,126.7649840000
경기도,평택시,평택동,"41220113",생활편의형SOC,CVNTL,도시공원,롯데인벤스 어린이공원,CVNTL_22_41220_03050,,"",경기도 평택시 평택동 312,어린이공원,1547,다리근육풀기+양팔줄당기기+어깨근육풀기+옆파도타기+오금펴기+온몸노젓기+온몸허리돌리기+하늘걷기,고무칩포장+조합놀이대,"","",수목보호대+조형동상+집수정,2005-08-29,경기도 평택시청,"031-8024-4247","2022-07-11",,36.9893460000,127.0879300000
경기도,수원시 권선구,금곡동,"41113134",생활편의형SOC,CVNTL,도시공원,산울림공원,CVNTL_22_41113_01473,,경기도 수원시 권선구 당수로 41-107,경기도 수원시 권선구 금곡동 1059,근린공원,23151.4,농구장1,"","","","",,경기도 수원시 권선구 녹지공원과,"031-228-6195","2022-07-11",,37.2770460000,126.9361100000
경기도,성남시 중원구,하대원동,"41133109",생활편의형SOC,CVNTL,도시공원,둔촌공원,CVNTL_22_41133_01376,,경기도 성남시 중원구 둔촌대로 300,경기도 성남시 중원구 하대원동 249,어린이공원,1937,"",어린이놀이터,벤치+파고라,"","",2003-11-17,중원구환경위생과,"031-729-6455","2022-07-11",,37.4289200000,127.1524000000
경기도,수원시 권선구,오목천동,"41113129",생활편의형SOC,CVNTL,도시공원,"105호근린공원",CVNTL_22_41113_01522,,경기도 수원시 권선구 서수원로 71,경기도 수원시 권선구 오목천동 814-1,근린공원,10191.8,"","","","","",,경기도 수원시 권선구 녹지공원과,"031-228-6195","2022-07-11",,37.2359700000,126.9761900000
경기도,고양시 덕양구,토당동,"41281120",생활편의형SOC,CVNTL,도시공원,토당 6공원,CVNTL_22_41281_00061,,"",경기도 고양시 덕양구 토당동 885-6,어린이공원,1500,"",조합놀이대,"","","",1986-12-31,경기도 고양시 덕양구청,"031-8075-5267","2022-07-11",,37.6185040000,126.8263200000
경기도,고양시 일산동구,백석동,"41285106",생활편의형SOC,CVNTL,도시공원,백석공원,CVNTL_22_41285_00137,,경기도 고양시 일산동구 일산로 136,경기도 고양시 일산동구 백석동 1233,근린공원,144170,"","",주차장+화장실,"","",1990-03-31,경기도 고양시 푸른도시사업소,"031-8075-4337","2022-07-11",,37.6473430000,126.7949000000
경기도,평택시,고덕동,"41220128",생활편의형SOC,CVNTL,도시공원,수변공원 14호(고덕국제화지구  율포리),CVNTL_22_41220_02952,,"",경기도 평택시 고덕동 9-2,수변공원,8285,"","","","","",2013-01-04,경기도 평택시청,"031-8024-4247","2022-07-11",,37.0499040000,127.0433960000
경기도,안양시 동안구,호계동,"41173104",생활편의형SOC,CVNTL,도시공원,흥안어린이공원,CVNTL_22_41173_02147,,"",경기도 안양시 동안구 호계동 1113-1,어린이공원,3223,"","","","","",1989-12-30,경기도 안양시 공원관리과,"031-8045-5022","2022-07-11",,37.3805270000,126.9681240000
경기도,평택시,용이동,"41220124",생활편의형SOC,CVNTL,도시공원,바다 어린이공원(현촌지구),CVNTL_22_41220_03034,,"",경기도 평택시 용이동 588-2,어린이공원,1934.9,마라톤운동기+어깨근육풀기+온몸허리돌리기,고무칩포장+그네+그네보호대+조합놀이대,"","",트랜치,2010-09-24,경기도 평택시청,"031-8024-4247","2022-07-11",,37.0020520000,127.1337600000
경기도,평택시,용이동,"41220124",생활편의형SOC,CVNTL,도시공원,신흥 근린공원(신흥지구),CVNTL_22_41220_03041,,"",경기도 평택시 용이동 744-1,근린공원,17877,농구대+농구장+다목적경기장+등허리지압기+마라톤운동+배드민턴장+온몸노젓기+하늘걷기+허리돌리기,그네+놀이시설 경계+조합놀이대+흔들놀이,음수대+자전거보관대(10대용)+화장실,"",가든테이블세트+수목보호홀덮개+연결관로+우수관로+원형맨홀+집수정+횡단배수로,2010-09-27,경기도 평택시청,"031-8024-4247","2022-07-11",,37.0037770000,127.1488800000
경기도,평택시,용이동,"41220124",생활편의형SOC,CVNTL,도시공원,현촌한마음 문화공원(현촌지구),CVNTL_22_41220_03042,,"",경기도 평택시 용이동 596-7,문화공원,6694.9,마라톤운동기+어깨근육풀기+옆파도타기+온몸허리돌리기+하늘걷기,"",자전거거치대+화장실,"",집수정+트랜치+흉관,2010-09-24,경기도 평택시청,"031-8024-4247","2022-07-11",,36.9989360000,127.1336400000
경기도,평택시,용이동,"41220124",생활편의형SOC,CVNTL,도시공원,용죽 역사공원(용죽지구),CVNTL_22_41220_03043,,"",경기도 평택시 용이동 660,역사공원,36140.4,"",강아지흔들놀이대+고양이흔들놀이대+그네놀이대+놀이시설 경계+양흔들놀이대+조합놀이대2,자전거보관대+화장실,"",U형측구+배수관+오수관(PVC PIPE)+오수맨홀+집수정+판넬식옹벽,2010-11-24,경기도 평택시청,"031-8024-4247","2022-07-11",,36.9975200000,127.1264950000
경기도,동두천시,지행동,"41250102",생활편의형SOC,CVNTL,도시공원,도깨비어린이공원,CVNTL_22_41250_00996,,경기도 동두천시 이담로 17,경기도 동두천시 지행동 717-6,어린이공원,2501,"","","","","",,동두천시청 공원녹지과,"031-860-2416","2022-07-11",,37.8889920000,127.0502300000
경기도,동두천시,지행동,"41250102",생활편의형SOC,CVNTL,도시공원,내행3어린이공원,CVNTL_22_41250_00988,,"",경기도 동두천시 지행동 273-32,어린이공원,3500,"","","","","",,동두천시청 공원녹지과,"031-860-2416","2022-07-11",,37.8961200000,127.0601900000
경기도,동두천시,지행동,"41250102",생활편의형SOC,CVNTL,도시공원,지행2어린이공원,CVNTL_22_41250_00989,,"",경기도 동두천시 지행동 175,어린이공원,2445,"","","","","",,동두천시청 공원녹지과,"031-860-2416","2022-07-11",,37.8886380000,127.0642600000
경기도,동두천시,지행동,"41250102",생활편의형SOC,CVNTL,도시공원,지행3어린이공원,CVNTL_22_41250_00992,,경기도 동두천시 평화로2238번길 22,경기도 동두천시 지행동 406-103,어린이공원,1297,"","","","","",,동두천시청 공원녹지과,"031-860-2416","2022-07-11",,37.8874630000,127.0580100000
경기도,동두천시,지행동,"41250102",생활편의형SOC,CVNTL,도시공원,도깨비어린이공원,CVNTL_22_41250_00991,,경기도 동두천시 이담로 17,경기도 동두천시 지행동 717-6,근린공원,17745,"","","","","",,동두천시청 공원녹지과,"031-860-2412","2022-07-11",,37.8889920000,127.0502300000
경기도,동두천시,지행동,"41250102",생활편의형SOC,CVNTL,도시공원,지행1어린이공원,CVNTL_22_41250_01003,,"",경기도 동두천시 지행동 334-8,어린이공원,1570,"","","","","",,동두천시청 공원녹지과,"031-860-2416","2022-07-11",,37.8915820000,127.0595600000
경기도,동두천시,송내동,"41250101",생활편의형SOC,CVNTL,도시공원,"35호어린이공원",CVNTL_22_41250_01001,,경기도 동두천시 평화로2229번길 36,경기도 동두천시 송내동 699-15,어린이공원,1566,"","","","","",,동두천시청 공원녹지과,"031-860-2416","2022-07-11",,37.8856300000,127.0556700000
경기도,동두천시,상패동,"41250112",생활편의형SOC,CVNTL,도시공원,상패공원,CVNTL_22_41250_00987,,"",경기도 동두천시 상패동 산16,근린공원,73195,"","","","","",,동두천시청 공원녹지과,"031-860-2412","2022-07-11",,37.9080960000,127.0458000000
경기도,안산시 상록구,사동,"41271103",생활편의형SOC,CVNTL,도시공원,호수공원,CVNTL_22_41271_02008,,경기도 안산시 상록구 광덕대로 70,경기도 안산시 상록구 사동 1513,근린공원,647766,"축구장,농구장,배구장,인라인장","놀이터,그네,미끄럼틀","주차장,화장실",야외이벤트장,"",1992-03-11,경기도 안산시청,"031-481-2468","2022-07-11",,37.3002970000,126.8293300000
경기도,고양시 덕양구,동산동,"41281112",생활편의형SOC,CVNTL,도시공원,삼송어린이3(동산)공원,CVNTL_22_41281_00059,,"",경기도 고양시 덕양구 동산동 349,어린이공원,2026,"",조합놀이대,"","","",2006-12-11,경기도 고양시 덕양구청,"031-8075-5267","2022-07-11",,37.6433260000,126.8847100000
경기도,광명시,일직동,"41210106",생활편의형SOC,CVNTL,도시공원,일직수변공원,CVNTL_22_41210_00360,,"",경기도 광명시 일직동 395-4,수변공원,71864,"","",화장실,"","",2007-11-22,경기도 광명시청,"02-2680-6298","2022-07-11",,37.4124450000,126.8839100000
경기도,광명시,일직동,"41210106",생활편의형SOC,CVNTL,도시공원,자경제1공원,CVNTL_22_41210_00366,,"",경기도 광명시 일직동 504-3,어린이공원,1187,"","","","","",2007-11-22,경기도 광명시청,"02-2680-6298","2022-07-11",,37.4211900000,126.8899840000
경기도,평택시,신대동,"41220122",생활편의형SOC,CVNTL,도시공원,원평14통(삽다리) 어린이공원,CVNTL_22_41220_03339,,"",경기도 평택시 신대동 184-9,어린이공원,1500,"","","","","",2016-02-29,경기도 평택시청,"031-8024-4247","2022-07-11",,37.0005380000,127.0580200000
경기도,평택시,포승읍,"41220256",생활편의형SOC,CVNTL,도시공원,원효대사 역사공원,CVNTL_22_41220_03178,,"",경기도 평택시 포승읍 원정리 산109-37,역사공원,7131,"","","","","",2016-02-29,경기도 평택시청,"031-8024-4247","2022-07-11",,37.0046800000,126.8225300000
경기도,성남시 분당구,판교동,"41135108",생활편의형SOC,CVNTL,도시공원,판교제5호(너울)공원,CVNTL_22_41135_01239,,"",경기도 성남시 분당구 판교동 597,어린이공원,1768.9,"",어린이놀이터,벤치,"","",2004-12-30,분당구녹지공원과,"031-729-8092","2022-07-11",,37.3898850000,127.0914700000
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,도시공원,넘말공원,CVNTL_22_41190_01114,,"",경기도 부천시 중동 729,어린이공원,3124,"",그네 등 3개,화장실,"","",1980-10-07,경기도 부천시청,"032-625-4864","2022-07-11",,37.4951300000,126.7622000000
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,도시공원,도담공원,CVNTL_22_41190_01117,,"",경기도 부천시 중동 1291,어린이공원,1463,"",그네 등 3개,"","","",2004-07-15,경기도 부천시청,"032-625-4864","2022-07-11",,37.4892500000,126.7696900000
경기도,고양시 일산동구,정발산동,"41285103",생활편의형SOC,CVNTL,도시공원,밤가시공원,CVNTL_22_41285_00164,,경기도 고양시 일산동구 일산로380번길 20-2,경기도 고양시 일산동구 정발산동 1299,어린이공원,23274,체력단련시설+운동장(축구골대+농구대),조합놀이대+흔들놀이기구(흔들말+시소)+회전놀이기구+그네,화장실,"","",1990-03-31,경기도 고양시 일산동구청,"031-8075-6263","2022-07-11",,37.6694830000,126.7826200000
경기도,평택시,세교동,"41220120",생활편의형SOC,CVNTL,도시공원,영신 제1호 근린공원(영신지구),CVNTL_22_41220_03432,,경기도 평택시 영신로 108,경기도 평택시 동삭동 589-3,근린공원,13139,"","","","","",2010-01-29,경기도 평택시청,"031-8024-4247","2022-07-11",,37.0183640000,127.0834960000
경기도,평택시,세교동,"41220120",생활편의형SOC,CVNTL,도시공원,꼬불길 어린이공원(지제세교지구),CVNTL_22_41220_03234,,"",경기도 평택시 세교동 408-2,어린이공원,1893,"","","","","",2013-09-03,경기도 평택시청,"031-8024-4247","2022-07-11",,37.0132700000,127.0750960000
경기도,평택시,동삭동,"41220119",생활편의형SOC,CVNTL,도시공원,상서재마당 근린공원(동삭2지구 근린2호),CVNTL_22_41220_03248,,"",경기도 평택시 동삭동 산1,근린공원,12214,"","","","","",2013-05-08,경기도 평택시청,"031-8024-4247","2022-07-11",,37.0138970000,127.1027800000
경기도,평택시,합정동,"41220117",생활편의형SOC,CVNTL,도시공원,조개터 1호 어린이공원,CVNTL_22_41220_03258,,"",경기도 평택시 합정동 921-1,어린이공원,1632.8,등허리지압기+마라톤운동+옆파도타기+온몸근육풀기+온몸허리돌리기,그네(2인용)+그네보호대 +시소(4인용)+조합놀이대+흔들놀이대,"","",집수정,1993-12-03,경기도 평택시청,"031-8024-4247","2022-07-11",,36.9891600000,127.0998500000
경기도,고양시 덕양구,행신동,"41281128",생활편의형SOC,CVNTL,도시공원,밤나무공원,CVNTL_22_41281_00067,,"",경기도 고양시 덕양구 행신동 1068-1,어린이공원,6726,"",조합놀이대,"","","",2003-10-31,경기도 고양시 덕양구청,"031-8075-5267","2022-07-11",,37.6207660000,126.8521400000
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,도시공원,중동1-1공원,CVNTL_22_41190_01102,,"",경기도 부천시 중동 778-3,소공원,1787.8,"","","","","",2019-12-02,경기도 부천시청,"032-625-4864","2022-07-11",,37.4912720000,126.7706760000
경기도,고양시 덕양구,행신동,"41281128",생활편의형SOC,CVNTL,도시공원,행신 7(소만)공원,CVNTL_22_41281_00085,,경기도 고양시 덕양구 화신로 42,경기도 고양시 덕양구 행신동 782,어린이공원,1501.3,"",조합놀이대,화장실,"","",1990-12-08,경기도 고양시 덕양구청,"031-8075-5267","2022-07-11",,37.6165240000,126.8404100000
경기도,수원시 장안구,정자동,"41111130",생활편의형SOC,CVNTL,도시공원,정자공원,CVNTL_22_41111_01662,,경기도 수원시 장안구 송정로60번길 10-23,경기도 수원시 장안구 정자동 35-22,어린이공원,3238,다목적구장(농구)1,조합놀이대1,노인정1,"","",,경기도 수원시 장안구 녹지공원과,"031-228-5995","2022-07-11",,37.2955300000,127.0025600000
경기도,안산시 단원구,원곡동,"41273108",생활편의형SOC,CVNTL,도시공원,원곡공원,CVNTL_22_41273_01956,,경기도 안산시 단원구 화랑로 10,경기도 안산시 단원구 원곡동 963-14,어린이공원,1385.9,농구대 2,"조합놀이대, 시소, 그네","","","",1995-01-01,경기도 안산시청,"031-481-6412","2022-07-11",,37.3330700000,126.7955500000
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,도시공원,달빛공원,CVNTL_22_41190_01115,,"",경기도 부천시 중동 1115,근린공원,3788.6,"","","","","",2011-11-07,경기도 부천시청,"032-625-4843","2022-07-11",,37.4963400000,126.7792200000
경기도,안산시 상록구,부곡동,"41271107",생활편의형SOC,CVNTL,도시공원,새말공원,CVNTL_22_41271_02028,,"",경기도 안산시 상록구 부곡동 639-7,어린이공원,1563.7,"","조합놀이대,그네","","","",1995-01-01,경기도 안산시청,"031-481-5436","2022-07-11",,37.3337750000,126.8658140000
경기도,안산시 상록구,이동,"41271102",생활편의형SOC,CVNTL,도시공원,소나무공원,CVNTL_22_41271_02038,,"",경기도 안산시 상록구 이동 679,어린이공원,1639.2,"",조합놀이대,"","","",2004-01-01,경기도 안산시청,"031-481-5436","2022-07-11",,37.3084800000,126.8460160000
경기도,안산시 상록구,이동,"41271102",생활편의형SOC,CVNTL,도시공원,매화공원,CVNTL_22_41271_02068,,경기도 안산시 상록구 매화로1길 12-3,경기도 안산시 상록구 이동 582-2,어린이공원,2236,"","조합놀이대,그네,흔들놀이기구","","","",1989-01-01,경기도 안산시청,"031-481-5436","2022-07-11",,37.3058240000,126.8592760000
경기도,구리시,수택동,"41310105",생활편의형SOC,CVNTL,도시공원,왕산내뜰어린이공원,CVNTL_22_41310_00413,,"",경기도 구리시 수택동 889-3,어린이공원,1903,야외헬스기구,조합놀이대,"","","",2007-07-30,경기도 구리시청,"031-550-2418","2022-07-11",,37.6018300000,127.1466450000
경기도,과천시,문원동,"41290102",생활편의형SOC,CVNTL,도시공원,문원어린이공원,CVNTL_22_41290_00276,,"",경기도 과천시 문원동 155-3,어린이공원,1737,체력단련시설,어린이놀이터,"","",조경시설+도로,2001-12-11,경기도 과천시청,"02-3677-2272","2022-07-11",,37.4219740000,127.0087800000
