시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,주차장관리번호,주차장구분,주차장유형,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,데이터갱신일자,업태구분명,위도,경도
경기도,연천군,전곡읍,"41800253",생활편의형SOC,CVNTL,주차장,구. 학소정 주차장,CVNTL_23_41800_00683,,경기도 연천군 전곡읍 은전로40번길 36-23,경기도 연천군 전곡읍 은대리 산 171,"238-2-000001",공영,노외,117,기타,미시행,평일+토요일+공휴일,"0:00","0:00","0:00","0:00","0:00","0:00",무료,0,0,0,0,0,0,0,"",공영무료주차장,경기도 연천군청,"031-839-2293",2022-07-11,,38.0248500000,127.0645140000
경기도,화성시,반송동,"41590127",생활편의형SOC,CVNTL,주차장,동탄다온공영,CVNTL_23_41590_01001,,경기도 화성시 동탄중심상가1길 21,경기도 화성시 반송동 104-7,"233-2-000022",공영,노외,158,"1",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,10,400,10,600,,,100000,카드결제,"",화성도시공사,"031-8059-6538",2022-07-11,,37.2008440000,127.0724000000
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,주차장,꿈빛도서관,CVNTL_23_41190_00265,,경기도 부천시 신흥로275번길 19,경기도 부천시 중동 1051-8,"000-2-000090",공영,노외,66,"3",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,0,0,0,0,0,0,50000,신용카드,연중무휴,경기도 부천도시공사,"032-340-0923",2022-07-11,,37.5081180000,126.7737100000
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,주차장,미관광장8호지하,CVNTL_23_41190_00267,,경기도 부천시 중동로262번길 102,경기도 부천시 중동 1139,"000-2-000079",공영,노외,500,"1",미시행,평일+토요일+공휴일,"7:00","23:00","7:00","23:00","7:00","23:59",유료,30,900,10,400,310,9500,100000,신용카드,"설, 추석 개방",경기도 부천도시공사,"032-340-0923",2022-07-11,,37.5019900000,126.7749300000
경기도,부천시,오정동,"41190117",생활편의형SOC,CVNTL,주차장,오정동제1호공영,CVNTL_23_41190_00270,,경기도 부천시 오정로232번길 39-22,경기도 부천시 오정동 559-1,"000-2-000082",공영,노외,55,기타,미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,0,0,0,0,0,0,50000,계좌이체,월정기 전용,경기도 부천도시공사,"032-340-0925",2022-07-11,,37.5277440000,126.7872600000
경기도,구리시,수택동,"41310105",생활편의형SOC,CVNTL,주차장,제3공영노외주차장,CVNTL_23_41310_00086,,경기도 구리시 체육관로74번길 67,경기도 구리시 수택동 852,"221-2-000003",공영,노외,200,"1",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,30,600,10,200,24,8000,70000,카드,면제 : 성실납세자 차량 등(1년 한정)+장애인_국가유공자_민주유공자_고엽제후유의증 환자(1일1회에 3시간 한정)+환경친화적 자동차(1일1회 2시간한정) *50퍼센트 감면 : 경형자동차_저공해자동차_장기기증자_3자녀이상 다자녀 등록차량_연간100시간이상 봉사자_병역명문가 등,구리도시공사,"031-550-3766",2022-07-11,,37.5915150000,127.1418150000
경기도,성남시 중원구,중앙동,"41133132",생활편의형SOC,CVNTL,주차장,중앙동 제5,CVNTL_23_41133_00356,,경기도 성남시 중원구 광명로194번길 28,경기도 성남시 중원구 중앙동 3767-9,"205-2-000023",공영,노외,136,"1",요일제,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,30,400,10,200,24,6000,60000,신용카드,경차·장애인 차량 50프로 할인 등,성남도시개발공사 노외주차처,"",2022-07-11,,37.4372900000,127.1506900000
경기도,김포시,사우동,"41570106",생활편의형SOC,CVNTL,주차장,사우4구역 노상 공영,CVNTL_23_41570_00151,,경기도 김포시 돌문로 61,경기도 김포시 사우동 236,"232-1-000007",공영,노상,51,"1",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",무료,0,0,,,,,,"","",경기도 김포시청,"031-980-2330",2022-07-11,,37.6198200000,126.7165150000
경기도,남양주시,화도읍,"41360256",생활편의형SOC,CVNTL,주차장,화도 제4공영,CVNTL_23_41360_00158,,경기도 남양주시 화도읍 마석로 14,경기도 남양주시 화도읍 창현리 488-21,"222-2-000003",공영,노외,55,"1",요일제,평일+토요일,"10:00","19:00","10:00","19:00","0:00","0:00",유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,"031-560-1212",2022-07-11,,37.6521900000,127.3065900000
경기도,군포시,금정동,"41410105",생활편의형SOC,CVNTL,주차장,금정제일공영주차장,CVNTL_23_41410_00125,,경기도 군포시 금재로35번길 19,경기도 군포시 금정동 755,"225-2-000016",공영,노외,115,"2",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",혼합,30,500,10,100,16,4000,50000,현금+신용카드,"경차·장애인 차량 할인+평일·토요일[08:00~24:00(유료),00:01~07:59(무료)]+일요일[10:00~22:00(유료),22:01~09:59(무료)]",군포도시공사,"031-390-7684",2022-07-11,,37.3606000000,126.9449160000
경기도,고양시 일산동구,장항동,"41285104",생활편의형SOC,CVNTL,주차장,호수공원 부설 3,CVNTL_23_41285_00039,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,"241-3-000004",공영,부설,181,"3",미시행,평일+토요일+공휴일,"9:00","22:00","9:00","22:00","9:00","22:00",유료,30,300,5,50,13,,,신용카드,경차·저공해차량 차량 50퍼센트 할인,경기도 고양도시관리공사,"031-929-4849",2022-07-11,,37.6544000000,126.7687760000
경기도,고양시 덕양구,행신동,"41281128",생활편의형SOC,CVNTL,주차장,행신 제4,CVNTL_23_41281_00020,,경기도 고양시 덕양구 무원로 14,경기도 고양시 덕양구 행신동 710,"218-2-000007",공영,노외,44,"3",미시행,평일,"9:00","21:00","0:00","0:00","0:00","0:00",유료,30,200,5,50,24,3000,60000,신용카드,경차·저공해차량 차량 50퍼센트 할인,경기도 고양도시관리공사,"031-925-9928",2022-07-11,,37.6140980000,126.8325400000
경기도,과천시,문원동,"41290102",생활편의형SOC,CVNTL,주차장,공영주차장,CVNTL_23_41290_00069,,경기도 과천시 문원청계4길 12,경기도 과천시 문원동 115-149,"220-2-000093",공영,노외,3,"1",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",무료,10,0,,,,,,"","",경기도 과천시청,"02-3677-2897",2022-07-11,,37.4239540000,127.0093300000
경기도,양평군,양평읍,"41830250",생활편의형SOC,CVNTL,주차장,양평공설시장,CVNTL_23_41830_00645,,경기도 양평군 양평읍 양평장터길 15,경기도 양평군 양평읍 양근리 166-8,"240-2-000002",공영,노외,273,"1",미시행,평일+토요일,"9:00","18:00","9:00","18:00","0:00","0:00",혼합,30,600,10,300,30,7000,70000,현금+신용카드,"",양평시장상인회,"031-771-2080",2022-07-11,,37.4908500000,127.4927800000
경기도,양평군,양평읍,"41830250",생활편의형SOC,CVNTL,주차장,양평시장공영,CVNTL_23_41830_00646,,경기도 양평군 양평읍 역전길 22,경기도 양평군 양평읍 양근리 376-8,"240-2-000003",공영,노외,193,"1",미시행,평일+토요일,"9:00","18:00","9:00","18:00","0:00","0:00",혼합,30,600,10,300,30,7000,70000,현금+신용카드,"",한국자유총연맹,"031-775-9922",2022-07-11,,37.4921900000,127.4907600000
경기도,수원시 영통구,영통동,"41117105",생활편의형SOC,CVNTL,주차장,영통도서관부설,CVNTL_23_41117_00444,,경기도 수원시 영통구 청명로 151,경기도 수원시 영통구 영통동 961-1,"203-3-000002",공영,부설,80,"3",미시행,평일+토요일,"12:00","20:00","12:00","20:00","0:00","0:00",유료,30,400,10,100,24,3500,35000,"현금, 신용카드",월요일+공휴일 휴무,수원도시공사,"031-202-7368",2022-07-11,,37.2571950000,127.0720500000
경기도,고양시 일산서구,대화동,"41287104",생활편의형SOC,CVNTL,주차장,고양종합운동장제1,CVNTL_23_41287_00048,,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2320,"219-3-000002",공영,부설,168,"3",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",혼합,30,200,5,50,,3000,30000,신용카드,경차·저공해차량 차량 50퍼센트 할인,경기도 고양도시관리공사,"031-929-4849",2022-07-11,,37.6762400000,126.7421700000
경기도,고양시 일산서구,대화동,"41287104",생활편의형SOC,CVNTL,주차장,고양종합운동장제2,CVNTL_23_41287_00049,,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2320,"219-3-000003",공영,부설,336,"3",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",혼합,30,200,5,50,,3000,30000,신용카드,경차·저공해차량 차량 50퍼센트 할인,경기도 고양도시관리공사,"031-929-4849",2022-07-11,,37.6762400000,126.7421700000
경기도,김포시,장기동,"41570104",생활편의형SOC,CVNTL,주차장,장기제5,CVNTL_23_41570_00131,,경기도 김포시 김포한강2로23번길 76,경기도 김포시 장기동 2025-2,"232-2-000047",공영,노외,104,"1",미시행,평일+토요일,"9:00","23:00","9:00","23:00","0:00","0:00",유료,30,600,10,300,,7000,80000,신용카드,"",김포도시관리공사,"031-996-6584",2022-07-11,,37.6397300000,126.6803360000
경기도,김포시,장기동,"41570104",생활편의형SOC,CVNTL,주차장,장기7 임시 공영,CVNTL_23_41570_00132,,경기도 김포시 김포한강3로 291,경기도 김포시 장기동 1888-18,"232-2-000050",공영,노외,321,"1",미시행,평일+토요일,"9:00","22:00","9:00","22:00","0:00","0:00",유료,30,600,10,300,,7000,80000,신용카드,"",김포도시관리공사,"031-996-6584",2022-07-11,,37.6416930000,126.6587600000
경기도,김포시,북변동,"41570101",생활편의형SOC,CVNTL,주차장,사우노외8 공영,CVNTL_23_41570_00135,,경기도 김포시 사우중로73번길 46,경기도 김포시 북변동 818,"232-2-000031",공영,노외,22,"1",미시행,평일+토요일,"10:00","22:00","10:00","22:00","0:00","0:00",유료,30,600,10,300,,7000,80000,현금+신용카드,"",김포도시관리공사,"031-996-6584",2022-07-11,,37.6228800000,126.7209700000
경기도,김포시,사우동,"41570106",생활편의형SOC,CVNTL,주차장,사우노외1 공영,CVNTL_23_41570_00140,,경기도 김포시 돌문로86번길 11-2,경기도 김포시 사우동 1044,"232-2-000025",공영,노외,57,"1",미시행,평일+토요일,"11:00","23:00","11:00","23:00","0:00","0:00",유료,30,600,10,300,,7000,80000,현금+신용카드,"",김포도시관리공사,"031-996-6584",2022-07-11,,37.6219980000,126.7145700000
경기도,안양시 만안구,안양동,"41171101",생활편의형SOC,CVNTL,주차장,문예노상,CVNTL_23_41171_00581,,경기도 안양시 만안구 문예로 48,경기도 안양시 만안구 안양동 532-1,"208-1-000010",공영,노상,54,"1",미시행,평일,"10:00","18:00","0:00","0:00","0:00","0:00",유료,30,600,,,,,,"","",경기도 안양시,"031-8045-5255",2022-07-11,,37.3858570000,126.9329300000
경기도,부천시,소사본동,"41190110",생활편의형SOC,CVNTL,주차장,윗소사,CVNTL_23_41190_00238,,경기도 부천시 소사로177번길 19,경기도 부천시 소사본동 179,"000-2-000057",공영,노외,171,"3",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,30,300,10,200,220,4000,50000,신용카드,무인 자동화 정산 시스템 주차장,경기도 부천도시공사,"032-340-0997",2022-07-11,,37.4739530000,126.7941100000
경기도,고양시 일산동구,백석동,"41285106",생활편의형SOC,CVNTL,주차장,노상 5권역,CVNTL_23_41285_00027,,경기도 고양시 일산동구 강석로 2,경기도 고양시 일산동구 백석동 1283-2,"241-1-000001",공영,노상,100,"1",미시행,평일,"9:00","21:00","0:00","0:00","0:00","0:00",유료,5,150,5,150,,,,신용카드+현금,"2시간 초과시 요금 2배 할증",경기도 고양도시관리공사,"031-929-4847",2022-07-11,,37.6441000000,126.7888260000
경기도,김포시,사우동,"41570106",생활편의형SOC,CVNTL,주차장,사우노외3 공영,CVNTL_23_41570_00142,,경기도 김포시 돌문로86번길 12-20,경기도 김포시 사우동 1019,"232-2-000027",공영,노외,32,"1",미시행,평일+토요일,"11:00","23:00","11:00","23:00","0:00","0:00",유료,30,600,10,300,,7000,60000,현금+신용카드,주간 정기권만 가능,김포도시관리공사,"031-996-6584",2022-07-11,,37.6212300000,126.7154200000
경기도,동두천시,보산동,"41250106",생활편의형SOC,CVNTL,주차장,한미우호의광장,CVNTL_23_41250_00194,,경기도 동두천시 상패로 210-27,경기도 동두천시 보산동 431-36,"215-2-000018",공영,노외,42,"2",미시행,평일+토요일+공휴일,"0:00","0:00","0:00","0:00","0:00","0:00",무료,0,0,,,,,,"","",경기도 동두천시청 교통행정과,"031-860-2729",2022-07-11,,37.9166530000,127.0558240000
경기도,안양시 만안구,안양동,"41171101",생활편의형SOC,CVNTL,주차장,병목안시민공원,CVNTL_23_41171_00589,,경기도 안양시 만안구 병목안로 163-33,경기도 안양시 만안구 안양동 1040-7,"208-2-000013",공영,노외,170,"3",미시행,평일+토요일+공휴일,"9:00","21:00","0:00","23:59","0:00","23:59",유료,30,200,,,,,,"","",경기도 안양시,"031-8045-5255",2022-07-11,,37.3866000000,126.9087750000
경기도,성남시 분당구,백현동,"41135110",생활편의형SOC,CVNTL,주차장,판교역환승,CVNTL_23_41135_00286,,경기도 성남시 분당구 판교역로 166,경기도 성남시 분당구 백현동 532,"206-2-000012",공영,노외,273,"1",요일제,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,30,400,10,200,24,6000,0,신용카드,경차·장애인 차량 50프로 할인 등,성남도시개발공사 노외주차처,"",2022-07-11,,37.3955000000,127.1103700000
경기도,성남시 중원구,상대원동,"41133105",생활편의형SOC,CVNTL,주차장,중상41,CVNTL_23_41133_00424,,경기도 성남시 중원구 둔촌대로 474,경기도 성남시 중원구 상대원동 513-15,"205-1-000044",공영,노상,17,"1",요일제,평일,"9:00","18:00","0:00","0:00","0:00","0:00",혼합,30,400,10,200,9,7200,60000,현금+신용카드,경차·장애인 차량 50프로 할인 등,성남도시개발공사 노상주차처,"",2022-07-11,,37.4313200000,127.1692700000
경기도,의왕시,내손동,"41430107",생활편의형SOC,CVNTL,주차장,내손주차빌딩,CVNTL_23_41430_00799,,경기도 의왕시 내손공원길 39,경기도 의왕시 내손동 666,"226-2-000006",공영,노외,184,"2",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,30,600,10,200,300,6000,50000,신용카드,"",의왕도시공사,"031-8086-7440",2022-07-11,,37.3861350000,126.9839000000
경기도,용인시 처인구,삼가동,"41461103",생활편의형SOC,CVNTL,주차장,행정타운공영,CVNTL_23_41461_00777,,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,"228-1-000062",공영,노상,123,"1",미시행,평일+토요일+공휴일,"23:59","23:59","23:59","23:59","23:59","23:59",무료,0,0,0,0,0,0,0,"","",용인시 회계과,"031-324-3104",2022-07-11,,37.2406120000,127.1777800000
경기도,성남시 수정구,신흥동,"41131101",생활편의형SOC,CVNTL,주차장,신흥2동제1공영주차장,CVNTL_23_41131_00306,,"",경기도 성남시 수정구 신흥동 2440,"204-2-000035",공영,노외,151,"1",요일제,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,30,400,10,200,24,6000,60000,신용카드,경차·장애인 차량 50프로 할인 등,성남도시개발공사 노외주차처,"",2022-07-11,,37.4479330000,127.1535500000
경기도,성남시 중원구,상대원동,"41133105",생활편의형SOC,CVNTL,주차장,중상34-35,CVNTL_23_41133_00422,,경기도 성남시 중원구 사기막골로 18,경기도 성남시 중원구 상대원동 567-1,"205-1-000040",공영,노상,46,"1",요일제,평일,"9:00","18:00","0:00","0:00","0:00","0:00",혼합,30,400,10,200,9,7200,60000,현금+신용카드,경차·장애인 차량 50프로 할인 등,성남도시개발공사 노상주차처,"",2022-07-11,,37.4330330000,127.1679500000
경기도,여주시,하동,"41670107",생활편의형SOC,CVNTL,주차장,여주장,CVNTL_23_41670_00648,,경기도 여주시 여흥로69번길 26-10,경기도 여주시 하동 190-3,"237-2-000004",공영,노외,119,"1",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",무료,0,,,,,,,"","",경기도 여주시청,"031-887-2234",2022-07-11,,37.2985950000,127.6327800000
경기도,성남시 수정구,신흥동,"41131101",생활편의형SOC,CVNTL,주차장,신흥 제7,CVNTL_23_41131_00304,,경기도 성남시 수정구 수정남로 85,경기도 성남시 수정구 신흥동 5542-2,"204-2-000017",공영,노외,276,"1",요일제,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,30,400,10,200,24,6000,60000,신용카드,경차·장애인 차량 50프로 할인 등,성남도시개발공사 노외주차처,"",2022-07-11,,37.4418100000,127.1369700000
경기도,동두천시,생연동,"41250103",생활편의형SOC,CVNTL,주차장,생연동공영주차장,CVNTL_23_41250_00212,,경기도 동두천시 생연로 143-1,경기도 동두천시 생연동 824-59,"215-2-000021",공영,노외,36,"2",미시행,평일+토요일+공휴일,"9:00","20:00","9:00","20:00","9:00","0:00",유료,30,500,15,200,,4000,40000,현금+신용카드,"경차,장애인차량할인, 2시간이내 무료주차",경기도 동두천시청 교통행정과,"031-860-2307",2022-07-11,,37.9052700000,127.0516600000
경기도,남양주시,와부읍,"41360250",생활편의형SOC,CVNTL,주차장,와부 제2공영,CVNTL_23_41360_00176,,경기도 남양주시 와부읍 덕소로 100-3,경기도 남양주시 와부읍 덕소리 510-4,"222-2-000013",공영,노외,31,"1",요일제,평일+토요일,"10:00","19:00","10:00","19:00","0:00","0:00",유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,"031-560-1212",2022-07-11,,37.5853800000,127.2119700000
경기도,군포시,부곡동,"41410103",생활편의형SOC,CVNTL,주차장,고랑치기공영주차장,CVNTL_23_41410_00127,,경기도 군포시 군포첨단산업2로 13,경기도 군포시 부곡동 1246-1,"225-2-000064",공영,노외,165,"2",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",혼합,30,500,10,100,16,4000,60000,현금+신용카드,"경차·장애인 차량 할인+평일·토요일[08:00~24:00(유료),00:01~07:59(무료)]+일요일[10:00~22:00(유료),22:01~09:59(무료)]",군포도시공사,"031-390-7684",2022-07-11,,37.3266370000,126.9416900000
경기도,성남시 분당구,수내동,"41135102",생활편의형SOC,CVNTL,주차장,수내역,CVNTL_23_41135_00276,,경기도 성남시 분당구 수내로 74,경기도 성남시 분당구 수내동 34,"206-2-000011",공영,노외,509,"1",요일제,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,30,400,10,200,24,6000,0,신용카드,경차·장애인 차량 50프로 할인 등,성남도시개발공사 노외주차처,"",2022-07-11,,37.3784450000,127.1180700000
경기도,부천시,소사본동,"41190110",생활편의형SOC,CVNTL,주차장,소사종합시장,CVNTL_23_41190_00240,,경기도 부천시 소삼로 5,경기도 부천시 소사본동 77-5,"000-2-000081",공영,노외,116,"2",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,30,700,10,300,300,7000,70000,신용카드,무인 자동화 정산 시스템 주차장,경기도 부천도시공사,"032-340-0923",2022-07-11,,37.4792440000,126.7935900000
경기도,부천시,소사본동,"41190110",생활편의형SOC,CVNTL,주차장,소새울공원,CVNTL_23_41190_00237,,경기도 부천시 은성로67번길 24,경기도 부천시 소사본동 157,"000-2-000041",공영,노외,175,"3",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,30,300,10,200,220,4000,50000,신용카드,무인 자동화 정산 시스템 주차장,경기도 부천도시공사,"032-340-0997",2022-07-11,,37.4766580000,126.7987060000
경기도,수원시 영통구,하동,"41117104",생활편의형SOC,CVNTL,주차장,원천호수,CVNTL_23_41117_00440,,경기도 수원시 영통구 광교호수로 75,경기도 수원시 영통구 하동 1024,"203-2-000009",공영,노외,389,기타,미시행,평일+토요일+공휴일,"0:00","0:00","0:00","0:00","0:00","0:00",유료,180,1000,180,1000,24,5000,40000,"현금, 신용카드","",수원도시공사,"031-548-0084",2022-07-11,,37.2758830000,127.0662600000
경기도,안산시 단원구,고잔동,"41273101",생활편의형SOC,CVNTL,주차장,진흥2길,CVNTL_23_41273_00507,,경기도 안산시 단원구 광덕동로 75,경기도 안산시 단원구 고잔동 769,"217-1-000007",공영,노상,162,"1",미시행,평일,"12:00","21:00","0:00","0:00","0:00","0:00",유료,30,600,10,300,5,9000,80000,신용카드,경차+장애인+국가 유공자+다자녀 등 할인,경기도 안산시청 교통정책과,"031-481-2974",2022-07-11,,37.3111760000,126.8324660000
경기도,안성시,석정동,"41550118",생활편의형SOC,CVNTL,주차장,석정동공영주차장(건축물식),CVNTL_23_41550_00545,,경기도 안성시 중앙로367번길 7,경기도 안성시 석정동 11-1,"231-2-000018",공영,노외,54,"1",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,30,500,30,500,24,6000,60000,현금,"경형자동차 60 감면,  장애인 차량 및 저공해자동차 표지부착 50 감면",경기도 안성시청,"031-678-2819",2022-07-11,,37.0083700000,127.2675800000
경기도,안성시,일죽면,"41550390",생활편의형SOC,CVNTL,주차장,일죽면,CVNTL_23_41550_00546,,경기도 안성시 일죽면 주래본죽로 23-2,경기도 안성시 일죽면 송천리 31,"231-2-000005",공영,노외,33,"1",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",무료,0,0,0,0,0,0,0,"0","0",경기도 안성시청,"031-678-2812",2022-07-11,,37.0943220000,127.4777760000
