시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,대표전화번호,관할구역명,데이터갱신일자,업태구분명,위도,경도
경기도,수원시 장안구,정자동,"41111130",생활편의형SOC,CVNTL,소방서,경기도 수원소방서,CVNTL_21_41111_00016,,경기도 수원시 장안구 정자천로189번길 12,경기도 수원시 장안구 정자동 873-5,"031-8012-9212","수원시 장안구, 영통구 일원",2022-07-11,,37.2971300000,126.9959700000
경기도,과천시,중앙동,"41290107",생활편의형SOC,CVNTL,소방서,경기도 과천소방서,CVNTL_21_41290_00004,,경기도 과천시 통영로 12,경기도 과천시 중앙동 40,"02-331-4212",과천시 일원,2022-07-11,,37.4285300000,126.9905100000
경기도,안양시 동안구,관양동,"41173102",생활편의형SOC,CVNTL,소방서,경기도 안양소방서,CVNTL_21_41173_00020,,경기도 안양시 동안구 관평로212번길 32,경기도 안양시 동안구 관양동 1592-1,"031-470-0212",안양시 일원,2022-07-11,,37.3959600000,126.9607500000
경기도,안산시 단원구,고잔동,"41273101",생활편의형SOC,CVNTL,소방서,경기도 안산소방서,CVNTL_21_41273_00018,,경기도 안산시 단원구 화랑로 407,경기도 안산시 단원구 고잔동 515-1,"031-470-7212",안산시 일원,2022-07-11,,37.3216320000,126.8330800000
경기도,평택시,비전동,"41220118",생활편의형SOC,CVNTL,소방서,경기도 평택소방서,CVNTL_21_41220_00031,,경기도 평택시 중앙로 273,경기도 평택시 비전동 849-1,"031-8053-6212",평택시 일원,2022-07-11,,36.9904370000,127.1128400000
경기도,의정부시,의정부동,"41150101",생활편의형SOC,CVNTL,소방서,경기도 의정부소방서,CVNTL_21_41150_00028,,경기도 의정부시 의정로 48,경기도 의정부시 의정부동 525,"031-849-7212",의정부시 일원,2022-07-11,,37.7370870000,127.0353240000
경기도,포천시,군내면,"41650310",생활편의형SOC,CVNTL,소방서,경기도 포천소방서,CVNTL_21_41650_00033,,경기도 포천시 군내면 호국로 1538,경기도 포천시 군내면 구읍리 669,"031-538-5212",포천시 일원,2022-07-11,,37.8911970000,127.2025300000
경기도,화성시,향남읍,"41590259",생활편의형SOC,CVNTL,소방서,경기도 화성소방서,CVNTL_21_41590_00035,,경기도 화성시 향남읍 향남로 399,경기도 화성시 향남읍 행정리 436-6,"031-8012-6212",화성시 일원,2022-07-11,,37.1309930000,126.9205000000
경기도,고양시 일산동구,장항동,"41285104",생활편의형SOC,CVNTL,소방서,경기도 일산소방서,CVNTL_21_41285_00003,,경기도 고양시 일산동구 중앙로 1325,경기도 고양시 일산동구 장항동 779,"031-930-0212",고양시 일산동구 및 서구 일원,2022-07-11,,37.6632840000,126.7696200000
경기도,광명시,소하동,"41210104",생활편의형SOC,CVNTL,소방서,경기도 광명소방서,CVNTL_21_41210_00005,,경기도 광명시 금하로 472,경기도 광명시 소하동 1336,"02-2610-3213",광명시 일원,2022-07-11,,37.4486900000,126.8852000000
경기도,수원시 권선구,권선동,"41113137",생활편의형SOC,CVNTL,소방서,경기도 수원남부소방서,CVNTL_21_41113_00015,,경기도 수원시 권선구 동수원로 286,경기도 수원시 권선구 권선동 1237,"031-639-8214","수원시 권선구, 팔달구 일원",2022-07-11,,37.2546730000,127.0363400000
경기도,양평군,양평읍,"41830250",생활편의형SOC,CVNTL,소방서,경기도 양평소방서,CVNTL_21_41830_00022,,경기도 양평군 양평읍 경강로 2047,경기도 양평군 양평읍 공흥리 159-1,"031-770-0212",양평군 일원,2022-07-11,,37.5002700000,127.5073100000
경기도,안성시,도기동,"41550124",생활편의형SOC,CVNTL,소방서,경기도 안성소방서,CVNTL_21_41550_00019,,경기도 안성시 미양로 855,경기도 안성시 도기동 544-174,"031-678-4212",안성시 일원,2022-07-11,,37.0002860000,127.2558900000
경기도,광주시,초월읍,"41610253",생활편의형SOC,CVNTL,소방서,경기도 광주소방서,CVNTL_21_41610_00006,,경기도 광주시 초월읍 무들로 112,경기도 광주시 초월읍 대쌍령리 450-7,"031-799-2212",광주시 일원,2022-07-11,,37.3855250000,127.2994840000
경기도,파주시,파주읍,"41480253",생활편의형SOC,CVNTL,소방서,경기도 파주소방서,CVNTL_21_41480_00030,,경기도 파주시 파주읍 통일로 1564,경기도 파주시 파주읍 봉서리 458-10,"031-956-9212",파주시 일원,2022-07-11,,37.8475270000,126.7897300000
경기도,양주시,백석읍,"41630250",생활편의형SOC,CVNTL,소방서,경기도 양주소방서,CVNTL_21_41630_00021,,경기도 양주시 백석읍 꿈나무로 156,경기도 양주시 백석읍 오산리 513-1,"031-849-8212",양주시 일원,2022-07-11,,37.7959330000,126.9891400000
경기도,여주시,월송동,"41670109",생활편의형SOC,CVNTL,소방서,경기도 여주소방서,CVNTL_21_41670_00023,,경기도 여주시 우암로 110,경기도 여주시 월송동 42,"031-887-7214",여주시일원,2022-07-11,,37.2916070000,127.6257800000
경기도,하남시,신장동,"41450106",생활편의형SOC,CVNTL,소방서,경기도 하남소방서,CVNTL_21_41450_00034,,경기도 하남시 대청로 76,경기도 하남시 신장동 528-1,"031-799-4212",하남시 일원,2022-07-11,,37.5397700000,127.2203140000
경기도,성남시 분당구,서현동,"41135105",생활편의형SOC,CVNTL,소방서,경기도 분당소방서,CVNTL_21_41135_00013,,경기도 성남시 분당구 양현로 14,경기도 성남시 분당구 서현동 278,"031-8018-3212","성남시 수정구, 중원구",2022-07-11,,37.3860440000,127.1194840000
경기도,동두천시,지행동,"41250102",생활편의형SOC,CVNTL,소방서,경기도 동두천소방서,CVNTL_21_41250_00011,,경기도 동두천시 지행로 6,경기도 동두천시 지행동 717,"031-830-5504",동두천시 일원,2022-07-11,,37.8919830000,127.0476460000
경기도,고양시 덕양구,성사동,"41281106",생활편의형SOC,CVNTL,소방서,경기도 고양소방서,CVNTL_21_41281_00002,,경기도 고양시 덕양구 고양대로 1342,경기도 고양시 덕양구 성사동 740,"031-931-0212",고양시 덕양구 일원,2022-07-11,,37.6549450000,126.8333300000
경기도,김포시,걸포동,"41570102",생활편의형SOC,CVNTL,소방서,경기도 김포소방서,CVNTL_21_41570_00009,,경기도 김포시 감암로 111,경기도 김포시 걸포동 1550-18,"031-980-4212",김포시 일원,2022-07-11,,37.6414900000,126.7085000000
경기도,시흥시,정왕동,"41390132",생활편의형SOC,CVNTL,소방서,경기도 시흥소방서,CVNTL_21_41390_00017,,경기도 시흥시 정왕신길로 206,경기도 시흥시 정왕동 1800-1,"031-310-0212",시흥시 일원,2022-07-11,,37.3493100000,126.7397000000
경기도,군포시,산본동,"41410104",생활편의형SOC,CVNTL,소방서,경기도 군포소방서,CVNTL_21_41410_00008,,경기도 군포시 고산로 429,경기도 군포시 산본동 1156,"031-479-8212",군포시 일원,2022-07-11,,37.3525660000,126.9271200000
경기도,이천시,관고동,"41500102",생활편의형SOC,CVNTL,소방서,경기도 이천소방서,CVNTL_21_41500_00029,,경기도 이천시 경충대로 2739,경기도 이천시 관고동 218-2,"031-645-5212",이천시 일원,2022-07-11,,37.2819940000,127.4315400000
